2017-01-06 09:52:39.963  INFO 32276 --- [localhost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2017-01-06 09:52:39.968  INFO 32276 --- [localhost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'httpPutFormContentFilter' to: [/*]
2017-01-06 09:52:39.968  INFO 32276 --- [localhost-startStop-1] o.s.b.c.embedded.FilterRegistrationBean  : Mapping filter: 'requestContextFilter' to: [/*]
2017-01-06 09:52:40.051  INFO 32276 --- [main] com.mchange.v2.log.MLog                  : MLog clients using log4j logging.
2017-01-06 09:52:40.082  INFO 32276 --- [main] com.mchange.v2.c3p0.C3P0Registry         : Initializing c3p0-0.9.1.2 [built 21-May-2007 15:04:56; debug? true; trace: 10]
2017-01-06 09:52:40.333  INFO 32276 --- [main] c.m.v.c.i.AbstractPoolBackedDataSource   : Initializing c3p0 pool... com.mchange.v2.c3p0.ComboPooledDataSource [ acquireIncrement -> 3, acquireRetryAttempts -> 30, acquireRetryDelay -> 1000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 0, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, dataSourceName -> 1bqop4e9lvhhymfni4gy|50a7c72b, debugUnreturnedConnectionStackTraces -> false, description -> null, driverClass -> com.mysql.jdbc.Driver, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, identityToken -> 1bqop4e9lvhhymfni4gy|50a7c72b, idleConnectionTestPeriod -> 3000, initialPoolSize -> 5, jdbcUrl -> jdbc:mysql://120.132.55.103:3308/league_data?useunicode=true&characterencoding=utf8&autoreconnect=true&rewritebatchedstatements=true&zerodatetimebehavior=converttonull, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 0, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 10, maxStatements -> 0, maxStatementsPerConnection -> 0, minPoolSize -> 2, numHelperThreads -> 3, numThreadsAwaitingCheckoutDefaultUser -> 0, preferredTestQuery -> null, properties -> {user=******, password=******}, propertyCycle -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> false, unreturnedConnectionTimeout -> 0, usesTraditionalReflectiveProxies -> false ]
2017-01-06 09:52:40.850  INFO 32276 --- [main] j.LocalContainerEntityManagerFactoryBean : Building JPA container EntityManagerFactory for persistence unit 'default'
2017-01-06 09:52:40.864  INFO 32276 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
2017-01-06 09:52:40.959  INFO 32276 --- [main] org.hibernate.Version                    : HHH000412: Hibernate Core {4.3.11.Final}
2017-01-06 09:52:40.961  INFO 32276 --- [main] org.hibernate.cfg.Environment            : HHH000206: hibernate.properties not found
2017-01-06 09:52:40.963  INFO 32276 --- [main] org.hibernate.cfg.Environment            : HHH000021: Bytecode provider name : javassist
2017-01-06 09:52:41.259  INFO 32276 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
2017-01-06 09:52:41.383  INFO 32276 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2017-01-06 09:52:41.395  INFO 32276 --- [main] o.h.e.jdbc.internal.LobCreatorBuilder    : HHH000424: Disabling contextual LOB creation as createClob() method threw error : java.lang.reflect.InvocationTargetException
2017-01-06 09:52:41.614  INFO 32276 --- [main] o.h.h.i.ast.ASTQueryTranslatorFactory    : HHH000397: Using ASTQueryTranslatorFactory
2017-01-06 09:52:42.863  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/assist/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.AssistController.selectAssistById(int)
2017-01-06 09:52:42.883  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-mapping],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubMappingController.insertClubMapping(com.ninehcom.transfer.entity.ClubMapping)
2017-01-06 09:52:42.883  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-mapping],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubMappingController.updateClubMapping(com.ninehcom.transfer.entity.ClubMapping)
2017-01-06 09:52:42.883  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-mapping/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubMappingController.deleteClubMappingById(int)
2017-01-06 09:52:42.885  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-player-re-club],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubPlayerReClubController.selectAllClubPlayerReClub()
2017-01-06 09:52:42.885  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-player-re-club/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubPlayerReClubController.selectClubPlayerReClubById(int)
2017-01-06 09:52:42.885  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-player-re-club],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubPlayerReClubController.insertClubPlayerReClub(com.ninehcom.transfer.entity.ClubPlayerReClub)
2017-01-06 09:52:42.886  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-player-re-club],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubPlayerReClubController.updateClubPlayerReClub(com.ninehcom.transfer.entity.ClubPlayerReClub)
2017-01-06 09:52:42.886  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-player-re-club/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubPlayerReClubController.deleteClubPlayerReClubById(int)
2017-01-06 09:52:42.888  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-type],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubTypeController.insertClubType(com.ninehcom.transfer.entity.ClubType)
2017-01-06 09:52:42.888  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-type],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubTypeController.updateClubType(com.ninehcom.transfer.entity.ClubType)
2017-01-06 09:52:42.888  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-type],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubTypeController.selectAllClubType()
2017-01-06 09:52:42.889  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-type/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubTypeController.selectClubTypeById(int)
2017-01-06 09:52:42.889  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/club-type/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.ClubTypeController.deleteClubTypeById(int)
2017-01-06 09:52:42.890  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachController.selectCoachById(int)
2017-01-06 09:52:42.890  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachController.selectAllCoach()
2017-01-06 09:52:42.892  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryController.selectAllCoachHistory()
2017-01-06 09:52:42.892  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryController.selectCoachHistoryById(int)
2017-01-06 09:52:42.892  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryController.insertCoachHistory(com.ninehcom.transfer.entity.CoachHistory)
2017-01-06 09:52:42.893  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryController.updateCoachHistory(com.ninehcom.transfer.entity.CoachHistory)
2017-01-06 09:52:42.894  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryController.deleteCoachHistoryById(int)
2017-01-06 09:52:42.895  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-data],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryDataController.selectAllCoachHistoryData()
2017-01-06 09:52:42.896  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-data/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryDataController.selectCoachHistoryDataById(int)
2017-01-06 09:52:42.898  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-mapping],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryMappingController.selectAllCoachHistoryMapping()
2017-01-06 09:52:42.898  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-mapping/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryMappingController.selectCoachHistoryMappingById(int)
2017-01-06 09:52:42.898  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-mapping],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryMappingController.insertCoachHistoryMapping(com.ninehcom.transfer.entity.CoachHistoryMapping)
2017-01-06 09:52:42.898  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-mapping],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryMappingController.updateCoachHistoryMapping(com.ninehcom.transfer.entity.CoachHistoryMapping)
2017-01-06 09:52:42.899  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-history-mapping/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachHistoryMappingController.deleteCoachHistoryMappingById(int)
2017-01-06 09:52:42.901  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-mapping],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachMappingController.selectAllCoachMapping()
2017-01-06 09:52:42.901  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-mapping/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachMappingController.selectCoachMappingById(int)
2017-01-06 09:52:42.901  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-mapping],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachMappingController.insertCoachMapping(com.ninehcom.transfer.entity.CoachMapping)
2017-01-06 09:52:42.901  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-mapping],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachMappingController.updateCoachMapping(com.ninehcom.transfer.entity.CoachMapping)
2017-01-06 09:52:42.902  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-mapping/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachMappingController.deleteCoachMappingById(int)
2017-01-06 09:52:42.903  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coachresume],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachresumeController.selectAllCoachresume()
2017-01-06 09:52:42.903  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coachresume/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachresumeController.selectCoachresumeById(int)
2017-01-06 09:52:42.905  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-type],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachTypeController.insertCoachType(com.ninehcom.transfer.entity.CoachType)
2017-01-06 09:52:42.905  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-type],methods=[PUT]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachTypeController.updateCoachType(com.ninehcom.transfer.entity.CoachType)
2017-01-06 09:52:42.905  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-type],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachTypeController.selectAllCoachType()
2017-01-06 09:52:42.905  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-type/{id}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachTypeController.selectCoachTypeById(int)
2017-01-06 09:52:42.905  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/transfer/coach-type/{id}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CoachTypeController.deleteCoachTypeById(int)
2017-01-06 09:52:42.907  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/common/{datasource}/{resource}],methods=[POST]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CommonController.add(java.lang.String,java.lang.String,java.util.Map)
2017-01-06 09:52:42.908  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/common/{datasource}/{resource}],methods=[DELETE]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CommonController.delete(java.lang.String,java.lang.String,java.lang.String)
2017-01-06 09:52:42.908  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/common/{datasource}/{resource}],methods=[PATCH]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CommonController.change(java.lang.String,java.lang.String,java.lang.String,java.util.Map)
2017-01-06 09:52:42.909  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/common/{datasource}/{resource}],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.CommonController.selectAll(java.lang.String,java.lang.String,boolean,int,int,java.lang.String,java.util.List<java.lang.String>,java.util.List<java.lang.String>)
2017-01-06 09:52:42.912  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/1.trans-all-data/08.trans-match],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.Controller.transMatch()
2017-01-06 09:52:42.913  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/1.trans-all-data/07.trans-coach-resume],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.Controller.transCoachResume()
2017-01-06 09:52:42.913  INFO 32276 --- [main] s.w.s.m.m.a.RequestMappingHandlerMapping : Mapped "{[/1.trans-all-data/02.trans-team-history],methods=[GET]}" onto public com.ninehcom.common.util.Result com.ninehcom.transfer.controller.Controller.transTeamHistory()
